officeCode,name,state,district,region,latitude,longitude,pincode,tier,dummy,dataNote
DEMO-0001,Mumbai Head Post Office,Maharashtra,Mumbai,West,19.076,72.8777,400001,GPO,True,Synthetic demo record using representative real India Post office name/PIN conventions; verify against live India Post directory before production.
DEMO-0002,Pune Head Post Office,Maharashtra,Pune,West,18.5204,73.8567,411001,HO,True,Synthetic demo record using representative real India Post office name/PIN conventions; verify against live India Post directory before production.
DEMO-0003,Nagpur Head Post Office,Maharashtra,Nagpur,West,21.1458,79.0882,440001,HO,True,Synthetic demo record using representative real India Post office name/PIN conventions; verify against live India Post directory before production.
DEMO-0004,Nashik Head Post Office,Maharashtra,Nashik,West,19.9975,73.7898,422001,HO,True,Synthetic demo record using representative real India Post office name/PIN conventions; verify against live India Post directory before production.
DEMO-0005,Thane Head Post Office,Maharashtra,Thane,West,19.2183,72.9781,400601,HO,True,Synthetic demo record using representative real India Post office name/PIN conventions; verify against live India Post directory before production.
DEMO-0006,Ahmedabad Head Post Office,Gujarat,Ahmedabad,West,23.0225,72.5714,380001,HO,True,Synthetic demo record using representative real India Post office name/PIN conventions; verify against live India Post directory before production.
DEMO-0007,Surat Head Post Office,Gujarat,Surat,West,21.1702,72.8311,395003,HO,True,Synthetic demo record using representative real India Post office name/PIN conventions; verify against live India Post directory before production.
DEMO-0008,Vadodara Head Post Office,Gujarat,Vadodara,West,22.3072,73.1812,390001,HO,True,Synthetic demo record using representative real India Post office name/PIN conventions; verify against live India Post directory before production.
DEMO-0009,Rajkot Head Post Office,Gujarat,Rajkot,West,22.3039,70.8022,360001,HO,True,Synthetic demo record using representative real India Post office name/PIN conventions; verify against live India Post directory before production.
DEMO-0010,Bhavnagar Head Post Office,Gujarat,Bhavnagar,West,21.7645,72.1519,364001,HO,True,Synthetic demo record using representative real India Post office name/PIN conventions; verify against live India Post directory before production.
DEMO-0011,Jaipur Head Post Office,Rajasthan,Jaipur,North West,26.9124,75.7873,302001,HO,True,Synthetic demo record using representative real India Post office name/PIN conventions; verify against live India Post directory before production.
DEMO-0012,Jodhpur Head Post Office,Rajasthan,Jodhpur,North West,26.2389,73.0243,342001,HO,True,Synthetic demo record using representative real India Post office name/PIN conventions; verify against live India Post directory before production.
DEMO-0013,Udaipur Head Post Office,Rajasthan,Udaipur,North West,24.5854,73.7125,313001,HO,True,Synthetic demo record using representative real India Post office name/PIN conventions; verify against live India Post directory before production.
DEMO-0014,Kota Head Post Office,Rajasthan,Kota,North West,25.2138,75.8648,324001,HO,True,Synthetic demo record using representative real India Post office name/PIN conventions; verify against live India Post directory before production.
DEMO-0015,Ajmer Head Post Office,Rajasthan,Ajmer,North West,26.4499,74.6399,305001,HO,True,Synthetic demo record using representative real India Post office name/PIN conventions; verify against live India Post directory before production.
DEMO-0016,New Delhi Head Post Office,Delhi,New Delhi,Delhi,28.6139,77.209,110001,GPO,True,Synthetic demo record using representative real India Post office name/PIN conventions; verify against live India Post directory before production.
DEMO-0017,Delhi Cantt Head Post Office,Delhi,Delhi Cantt,Delhi,28.596,77.14,110010,HO,True,Synthetic demo record using representative real India Post office name/PIN conventions; verify against live India Post directory before production.
DEMO-0018,Karol Bagh Head Post Office,Delhi,Karol Bagh,Delhi,28.6519,77.1909,110005,HO,True,Synthetic demo record using representative real India Post office name/PIN conventions; verify against live India Post directory before production.
DEMO-0019,Rohini Head Post Office,Delhi,Rohini,Delhi,28.7495,77.0565,110085,SO,True,Synthetic demo record using representative real India Post office name/PIN conventions; verify against live India Post directory before production.
DEMO-0020,Bengaluru Head Post Office,Karnataka,Bengaluru,South Karnataka,12.9716,77.5946,560001,GPO,True,Synthetic demo record using representative real India Post office name/PIN conventions; verify against live India Post directory before production.
DEMO-0021,Mysuru Head Post Office,Karnataka,Mysuru,South Karnataka,12.2958,76.6394,570001,HO,True,Synthetic demo record using representative real India Post office name/PIN conventions; verify against live India Post directory before production.
DEMO-0022,Mangaluru Head Post Office,Karnataka,Mangaluru,South Karnataka,12.9141,74.856,575001,HO,True,Synthetic demo record using representative real India Post office name/PIN conventions; verify against live India Post directory before production.
DEMO-0023,Hubballi Head Post Office,Karnataka,Hubballi,North Karnataka,15.3647,75.124,580020,HO,True,Synthetic demo record using representative real India Post office name/PIN conventions; verify against live India Post directory before production.
DEMO-0024,Belagavi Head Post Office,Karnataka,Belagavi,North Karnataka,15.8497,74.4977,590001,HO,True,Synthetic demo record using representative real India Post office name/PIN conventions; verify against live India Post directory before production.
DEMO-0025,Chennai Head Post Office,Tamil Nadu,Chennai,Chennai,13.0827,80.2707,600001,GPO,True,Synthetic demo record using representative real India Post office name/PIN conventions; verify against live India Post directory before production.
DEMO-0026,Coimbatore Head Post Office,Tamil Nadu,Coimbatore,Western Tamil Nadu,11.0168,76.9558,641001,HO,True,Synthetic demo record using representative real India Post office name/PIN conventions; verify against live India Post directory before production.
DEMO-0027,Madurai Head Post Office,Tamil Nadu,Madurai,Madurai,9.9252,78.1198,625001,HO,True,Synthetic demo record using representative real India Post office name/PIN conventions; verify against live India Post directory before production.
DEMO-0028,Tiruchirappalli Head Post Office,Tamil Nadu,Tiruchirappalli,Central Tamil Nadu,10.7905,78.7047,620001,HO,True,Synthetic demo record using representative real India Post office name/PIN conventions; verify against live India Post directory before production.
DEMO-0029,Salem Head Post Office,Tamil Nadu,Salem,Western Tamil Nadu,11.6643,78.146,636001,HO,True,Synthetic demo record using representative real India Post office name/PIN conventions; verify against live India Post directory before production.
DEMO-0030,Hyderabad Head Post Office,Telangana,Hyderabad,Telangana,17.385,78.4867,500001,GPO,True,Synthetic demo record using representative real India Post office name/PIN conventions; verify against live India Post directory before production.
DEMO-0031,Warangal Head Post Office,Telangana,Warangal,Telangana,17.9689,79.5941,506002,HO,True,Synthetic demo record using representative real India Post office name/PIN conventions; verify against live India Post directory before production.
DEMO-0032,Nizamabad Head Post Office,Telangana,Nizamabad,Telangana,18.6725,78.0941,503001,HO,True,Synthetic demo record using representative real India Post office name/PIN conventions; verify against live India Post directory before production.
DEMO-0033,Karimnagar Head Post Office,Telangana,Karimnagar,Telangana,18.4386,79.1288,505001,HO,True,Synthetic demo record using representative real India Post office name/PIN conventions; verify against live India Post directory before production.
DEMO-0034,Kolkata Head Post Office,West Bengal,Kolkata,South Bengal,22.5726,88.3639,700001,GPO,True,Synthetic demo record using representative real India Post office name/PIN conventions; verify against live India Post directory before production.
DEMO-0035,Siliguri Head Post Office,West Bengal,Siliguri,North Bengal,26.7271,88.3953,734001,HO,True,Synthetic demo record using representative real India Post office name/PIN conventions; verify against live India Post directory before production.
DEMO-0036,Durgapur Head Post Office,West Bengal,Durgapur,South Bengal,23.5204,87.3119,713201,HO,True,Synthetic demo record using representative real India Post office name/PIN conventions; verify against live India Post directory before production.
DEMO-0037,Asansol Head Post Office,West Bengal,Asansol,South Bengal,23.6739,87.106,713301,HO,True,Synthetic demo record using representative real India Post office name/PIN conventions; verify against live India Post directory before production.
DEMO-0038,Lucknow Head Post Office,Uttar Pradesh,Lucknow,Lucknow,26.8467,80.9462,226001,HO,True,Synthetic demo record using representative real India Post office name/PIN conventions; verify against live India Post directory before production.
DEMO-0039,Kanpur Head Post Office,Uttar Pradesh,Kanpur,Kanpur,26.4499,80.3319,208001,HO,True,Synthetic demo record using representative real India Post office name/PIN conventions; verify against live India Post directory before production.
DEMO-0040,Varanasi Head Post Office,Uttar Pradesh,Varanasi,Varanasi,25.3176,82.9739,221001,HO,True,Synthetic demo record using representative real India Post office name/PIN conventions; verify against live India Post directory before production.
DEMO-0041,Agra Head Post Office,Uttar Pradesh,Agra,Agra,27.1767,78.0081,282001,HO,True,Synthetic demo record using representative real India Post office name/PIN conventions; verify against live India Post directory before production.
DEMO-0042,Prayagraj Head Post Office,Uttar Pradesh,Prayagraj,Allahabad,25.4358,81.8463,211001,HO,True,Synthetic demo record using representative real India Post office name/PIN conventions; verify against live India Post directory before production.
DEMO-0043,Bhopal Head Post Office,Madhya Pradesh,Bhopal,Bhopal,23.2599,77.4126,462001,HO,True,Synthetic demo record using representative real India Post office name/PIN conventions; verify against live India Post directory before production.
DEMO-0044,Indore Head Post Office,Madhya Pradesh,Indore,Indore,22.7196,75.8577,452001,HO,True,Synthetic demo record using representative real India Post office name/PIN conventions; verify against live India Post directory before production.
DEMO-0045,Gwalior Head Post Office,Madhya Pradesh,Gwalior,Gwalior,26.2183,78.1828,474001,HO,True,Synthetic demo record using representative real India Post office name/PIN conventions; verify against live India Post directory before production.
DEMO-0046,Jabalpur Head Post Office,Madhya Pradesh,Jabalpur,Jabalpur,23.1815,79.9864,482001,HO,True,Synthetic demo record using representative real India Post office name/PIN conventions; verify against live India Post directory before production.
DEMO-0047,Patna Head Post Office,Bihar,Patna,Patna HQ,25.5941,85.1376,800001,GPO,True,Synthetic demo record using representative real India Post office name/PIN conventions; verify against live India Post directory before production.
DEMO-0048,Gaya Head Post Office,Bihar,Gaya,Gaya,24.7914,85.0002,823001,HO,True,Synthetic demo record using representative real India Post office name/PIN conventions; verify against live India Post directory before production.
DEMO-0049,Muzaffarpur Head Post Office,Bihar,Muzaffarpur,Muzaffarpur,26.1209,85.3647,842001,HO,True,Synthetic demo record using representative real India Post office name/PIN conventions; verify against live India Post directory before production.
DEMO-0050,Bhagalpur Head Post Office,Bihar,Bhagalpur,Bhagalpur,25.2425,86.9842,812001,HO,True,Synthetic demo record using representative real India Post office name/PIN conventions; verify against live India Post directory before production.
DEMO-0051,Bhubaneswar Head Post Office,Odisha,Bhubaneswar,Bhubaneswar,20.2961,85.8245,751001,HO,True,Synthetic demo record using representative real India Post office name/PIN conventions; verify against live India Post directory before production.
DEMO-0052,Cuttack Head Post Office,Odisha,Cuttack,Cuttack,20.4625,85.883,753001,HO,True,Synthetic demo record using representative real India Post office name/PIN conventions; verify against live India Post directory before production.
DEMO-0053,Rourkela Head Post Office,Odisha,Rourkela,Sundargarh,22.2604,84.8536,769001,HO,True,Synthetic demo record using representative real India Post office name/PIN conventions; verify against live India Post directory before production.
DEMO-0054,Sambalpur Head Post Office,Odisha,Sambalpur,Sambalpur,21.4669,83.9812,768001,HO,True,Synthetic demo record using representative real India Post office name/PIN conventions; verify against live India Post directory before production.
DEMO-0055,Thiruvananthapuram Head Post Office,Kerala,Thiruvananthapuram,Kerala,8.5241,76.9366,695001,GPO,True,Synthetic demo record using representative real India Post office name/PIN conventions; verify against live India Post directory before production.
DEMO-0056,Kochi Head Post Office,Kerala,Kochi,Kochi,9.9312,76.2673,682001,HO,True,Synthetic demo record using representative real India Post office name/PIN conventions; verify against live India Post directory before production.
DEMO-0057,Kozhikode Head Post Office,Kerala,Kozhikode,North Kerala,11.2588,75.7804,673001,HO,True,Synthetic demo record using representative real India Post office name/PIN conventions; verify against live India Post directory before production.
DEMO-0058,Thrissur Head Post Office,Kerala,Thrissur,Central Kerala,10.5276,76.2144,680001,HO,True,Synthetic demo record using representative real India Post office name/PIN conventions; verify against live India Post directory before production.
DEMO-0059,Visakhapatnam Head Post Office,Andhra Pradesh,Visakhapatnam,Visakhapatnam,17.6868,83.2185,530001,HO,True,Synthetic demo record using representative real India Post office name/PIN conventions; verify against live India Post directory before production.
DEMO-0060,Vijayawada Head Post Office,Andhra Pradesh,Vijayawada,Vijayawada,16.5062,80.648,520001,HO,True,Synthetic demo record using representative real India Post office name/PIN conventions; verify against live India Post directory before production.
DEMO-0061,Tirupati Head Post Office,Andhra Pradesh,Tirupati,Tirupati,13.6288,79.4192,517501,HO,True,Synthetic demo record using representative real India Post office name/PIN conventions; verify against live India Post directory before production.
DEMO-0062,Guntur Head Post Office,Andhra Pradesh,Guntur,Guntur,16.3067,80.4365,522002,HO,True,Synthetic demo record using representative real India Post office name/PIN conventions; verify against live India Post directory before production.
DEMO-0063,Amritsar Head Post Office,Punjab,Amritsar,Punjab,31.634,74.8723,143001,HO,True,Synthetic demo record using representative real India Post office name/PIN conventions; verify against live India Post directory before production.
DEMO-0064,Ludhiana Head Post Office,Punjab,Ludhiana,Punjab,30.901,75.8573,141001,HO,True,Synthetic demo record using representative real India Post office name/PIN conventions; verify against live India Post directory before production.
DEMO-0065,Jalandhar Head Post Office,Punjab,Jalandhar,Punjab,31.326,75.5762,144001,HO,True,Synthetic demo record using representative real India Post office name/PIN conventions; verify against live India Post directory before production.
DEMO-0066,Patiala Head Post Office,Punjab,Patiala,Punjab,30.3398,76.3869,147001,HO,True,Synthetic demo record using representative real India Post office name/PIN conventions; verify against live India Post directory before production.
DEMO-0067,Gurugram Head Post Office,Haryana,Gurugram,Gurugram,28.4595,77.0266,122001,HO,True,Synthetic demo record using representative real India Post office name/PIN conventions; verify against live India Post directory before production.
DEMO-0068,Faridabad Head Post Office,Haryana,Faridabad,Faridabad,28.4089,77.3178,121001,HO,True,Synthetic demo record using representative real India Post office name/PIN conventions; verify against live India Post directory before production.
DEMO-0069,Panipat Head Post Office,Haryana,Panipat,Karnal,29.3909,76.9635,132103,HO,True,Synthetic demo record using representative real India Post office name/PIN conventions; verify against live India Post directory before production.
DEMO-0070,Hisar Head Post Office,Haryana,Hisar,Hisar,29.1492,75.7217,125001,HO,True,Synthetic demo record using representative real India Post office name/PIN conventions; verify against live India Post directory before production.
DEMO-0071,Ranchi Head Post Office,Jharkhand,Ranchi,Ranchi,23.3441,85.3096,834001,HO,True,Synthetic demo record using representative real India Post office name/PIN conventions; verify against live India Post directory before production.
DEMO-0072,Jamshedpur Head Post Office,Jharkhand,Jamshedpur,Singhbhum,22.8046,86.2029,831001,HO,True,Synthetic demo record using representative real India Post office name/PIN conventions; verify against live India Post directory before production.
